to_node	from_node	capacity	prob_failure
1	2	1000
2	1	1000
1	3	1000
3	1	1000
1	7	1000
7	1	1000
1	8	1000
8	1	1000
2	7	1000
7	2	1000
3	4	1000
4	3	1000
3	7	1000
7	3	1000
3	10	1000
10	3	1000
3	16	1000
16	3	1000
3	17	1000
17	3	1000
3	18	1000
18	3	1000
3	21	1000
21	3	1000
3	22	1000
22	3	1000
4	9	1000
9	4	1000
4	10	1000
10	4	1000
4	7	1000
7	4	1000
5	6	1000
6	5	1000
5	8	1000
8	5	1000
6	8	1000
8	6	1000
6	9	1000
9	6	1000
6	10	1000
10	6	1000
6	14	1000
14	6	1000
6	15	1000
15	6	1000
7	8	1000
8	7	1000
9	10	1000
10	9	1000
9	14	1000
14	9	1000
10	14	1000
14	10	1000
10	17	1000
17	10	1000
10	23	1000
23	10	1000
11	12	1000
12	11	1000
11	14	1000
14	11	1000
11	15	1000
15	11	1000
12	13	1000
13	12	1000
12	14	1000
14	12	1000
12	15	1000
15	12	1000
13	25	1000
25	13	1000
13	14	1000
14	13	1000
14	16	1000
16	14	1000
14	17	1000
17	14	1000
14	18	1000
18	14	1000
14	23	1000
23	14	1000
16	17	1000
17	16	1000
16	18	1000
18	16	1000
16	22	1000
22	16	1000
17	18	1000
18	17	1000
18	19	1000
19	18	1000
18	20	1000
20	18	1000
18	21	1000
21	18	1000
18	22	1000
22	18	1000
18	23	1000
23	18	1000
19	22	1000
22	19	1000
20	21	1000
21	20	1000
22	23	1000
23	22	1000
23	24	1000
24	23	1000
23	25	1000
25	23	1000
23	25	1000
25	23	1000
24	25	1000
25	24	1000
